Lat,Lon,First,Surname,DOB,Age,Smoker,Pets,Sex,Status,SC,Link
51.9004,-8.4683, Liam, Murphy, 1965-08-15,77, No, No, Male,Matched,Stefan Dodds,
51.8217,-8.214, Emma, O'Sullivan, 1958-03-22,84, No, No, Female,To be matched,Stefan Dodds,
51.9818,-8.6821, Noah, Kelly, 1962-12-09,79, No, No, Male,Matched,Stefan Dodds,
51.7456,-8.4134, Olivia, Walsh, 1970-06-18,71, No, No, Female,To be matched,Stefan Dodds,
51.774,-8.9392, Ethan, Ryan, 1968-09-05,73, No, No, Male,Matched,Henry Kissinger,
51.8012,-8.2091, Ava, Byrne, 1957-07-30,85, No, No, Female,Matched,Stefan Dodds,
51.9475,-8.3451, Isabella, O'Connor, 1964-02-14,78, No, No, Female,To be matched,Stefan Dodds,
51.8275,-8.3069, James, Doyle, 1959-06-03,83, No, No, Male,To be matched,Stefan Dodds,
51.9943,-8.5055, Sophia, McCarthy, 1966-04-25,76, No, No, Female,Matched,Stefan Dodds,
51.9861,-8.6422, Liam, Gallagher, 1963-10-11,79, No, No, Male,Matched,Stefan Dodds,
51.7647,-8.2466, Mia, Kennedy, 1958-12-29,82,Yes, No, Female,Matched,Stefan Dodds,
51.9033,-8.394, Benjamin, Clarke, 1956-03-08,86, No, No, Male,To be matched,Stefan Dodds,
51.7505,-8.6908, Charlotte, Brown, 1957-07-17,84, No, No, Female,To be matched,Henry Kissinger,
51.8327,-8.555, Samuel, Lynch, 1960-09-14,81, No, No, Male,To be matched,Stefan Dodds,
51.9356,-8.5751, Grace, Hughes, 1959-01-02,83, No, No, Female,To be matched,Stefan Dodds,
51.8782,-8.3678, Henry, Collins, 1967-04-19,75, No, No, Male,Matched,Stefan Dodds,
51.9749,-8.4741, Amelia, Ward, 1965-11-30,75,Yes, No, Female,To be matched,Stefan Dodds,
51.7254,-8.7546, Mason, Taylor, 1968-08-20,73, No,Yes, Male,To be matched,Henry Kissinger,
51.9343,-8.2506, Evelyn, White, 1963-05-07,78, No, No, Female,To be matched,Stefan Dodds,
51.89,-8.4404, Elijah, Martin, 1957-02-14,85, No, No, Male,To be matched,Stefan Dodds,
51.8311,-8.4323, Avery, Murphy, 1966-07-06,75, No, No, Female,To be matched,Stefan Dodds,
51.8167,-8.6098, Lily, Jones, 1959-10-31,81, No, No, Female,To be matched,Stefan Dodds,
51.7215,-8.3511, Michael, Wilson, 1958-01-15,84, No, No, Male,To be matched,Stefan Dodds,
51.7199,-8.1903, Matthew, Green, 1963-03-29,78, No, No, Male,To be matched,Henry Kissinger,
51.8196,-8.8507, Scarlett, Anderson, 1956-06-20,85, No, No, Female,To be matched,Stefan Dodds,
51.9787,-8.6832, Avery, Robinson, 1960-12-11,80, No, No, Female,Matched,Stefan Dodds,
51.8706,-8.4675, Evelyn, Murphy, 1961-09-07,79, No, No, Female,To be matched,Stefan Dodds,
51.9333,-8.2367, Daniel, Johnson, 1966-08-12,76, No, No, Male,To be matched,Stefan Dodds,
51.7774,-8.8259, Mia, Thompson, 1965-04-05,77, No, No, Female,To be matched,Stefan Dodds,
51.8465,-8.7897, Noah, Martinez, 1967-11-09,73, No, No, Male,To be matched,Stefan Dodds,
51.9789,-8.2672, Benjamin, Davis, 1961-02-23,80,Yes,Yes, Male,Re-match,Stefan Dodds,
51.8882,-8.3778, Harper, Moore, 1964-10-16,78, No, No, Female,Matched,Stefan Dodds,
51.73,-8.2197, James, Hall, 1967-07-19,74, No, No, Male,Matched,Stefan Dodds,
51.7108,-8.3272, William, Lewis, 1962-12-03,79, No, No, Male,Matched,Stefan Dodds,
51.9743,-8.2167, Emma, Walker, 1958-03-18,85, No, No, Female,Re-match,Stefan Dodds,
51.9602,-8.5539, Madison, Turner, 1957-09-14,83,Yes, No, Female,Matched,Stefan Dodds,
51.7481,-8.3833, Harper, Scott, 1964-01-28,78, No,Yes, Female,Re-match,Stefan Dodds,
51.85,-8.7521, Benjamin, Young, 1968-05-07,73, No, No, Male,Matched,Stefan Dodds,
51.9858,-8.416, Mia, King, 1959-11-02,82, No, No, Female,Matched,Stefan Dodds,
51.8155,-8.4568, Grace, Hill, 1966-08-01,75, No, No, Female,Matched,Stefan Dodds,
51.7632,-8.6457, Daniel, Baker, 1962-04-16,79, No, No, Male,Matched,Stefan Dodds,
51.9504,-8.472, Joseph, Nelson, 1965-05-25,76, No, No, Male,To be matched,Stefan Dodds,
51.787,-8.2311, Olivia, Wood, 1956-07-12,85, No, No, Female,To be matched,Stefan Dodds,
51.9387,-8.3622, William, Murphy, 1963-10-24,78, No, No, Male,To be matched,Stefan Dodds,
51.7487,-8.5195, Liam, Allen, 1959-08-10,83, No, No, Male,To be matched,Stefan Dodds,
51.7955,-8.6388, Noah, Bennett, 1960-03-27,82, No, No, Male,To be matched,Stefan Dodds,
51.7519,-8.4903, Mia, Turner, 1957-04-09,84,Yes, No, Female,To be matched,Stefan Dodds,
51.9101,-8.4848, Harper, Adams, 1964-06-14,77, No, No, Female,To be matched,Stefan Dodds,
51.9204,-8.5707, Charlotte, Hayes, 1967-09-27,74, No, No, Female,To be matched,Stefan Dodds,
51.9002,-8.6499, Daniel, Parker, 1969-01-30,73, No,Yes, Male,To be matched,Stefan Dodds,
51.9303,-8.5772, Emma, Nelson, 1956-02-05,86, No, No, Female,To be matched,Stefan Dodds,
51.7402,-8.2936, Samuel, Kelly, 1961-03-21,80,Yes, No, Male,Re-match,Stefan Dodds,
51.7826,-8.6922, James, Wilson, 1967-04-15,75, No, No, Male,To be matched,Stefan Dodds,
51.9714,-8.2985, Harper, Davis, 1969-05-12,72, No, No, Female,To be matched,Stefan Dodds,
51.9736,-8.4109, Lily, Evans, 1965-11-08,76, No, No, Female,Matched,Stefan Dodds,
51.8508,-8.2163, Michael, Turner, 1960-08-22,82, No, No, Male,To be matched,Stefan Dodds,
51.7452,-8.3023, Olivia, Lewis, 1958-01-11,84, No, No, Female,To be matched,Stefan Dodds,
51.8811,-8.2436, Emma, Green, 1963-07-01,79, No, No, Female,Matched,Stefan Dodds,
51.93,-8.7325, Benjamin, Murphy, 1966-02-14,76, No, No, Male,To be matched,Stefan Dodds,
51.7157,-8.2185, Samuel, Thompson, 1962-09-09,79, No, No, Male,To be matched,Stefan Dodds,
51.9801,-8.4729, Noah, Turner, 1964-11-05,77, No, No, Male,To be matched,Stefan Dodds,
51.9071,-8.6924, Mia, Scott, 1961-12-19,80, No, No, Female,Matched,Henry Kissinger,
