First,Surname,Sex,Lat,Lon,DOB,Age,Status,CHN,Smoker,Pets,Link,Other
 Liam, Murphy, Male,51.9004,-8.4683, 1965-08-15,58,Matched,Stefan Dodds, No, No,,
 Emma, O'Sullivan, Female,51.8217,-8.214, 1958-03-22,66,To be matched,Stefan Dodds, No, No,,
 Noah, Kelly, Male,51.9818,-8.6821, 1962-12-09,61,Matched,Stefan Dodds, No, No,,
 Olivia, Walsh, Female,51.7456,-8.4134, 1970-06-18,53,To be matched,Stefan Dodds, No, No,,
 Ethan, Ryan, Male,51.774,-8.9392, 1968-09-05,55,Matched,Henry Kissinger, No, No,,
 Ava, Byrne, Female,51.8012,-8.2091, 1957-07-30,66,Matched,Stefan Dodds, No, No,,
 Isabella, O'Connor, Female,51.9475,-8.3451, 1964-02-14,60,To be matched,Stefan Dodds, No, No,,
 James, Doyle, Male,51.8275,-8.3069, 1959-06-03,64,To be matched,Stefan Dodds, No, No,,
 Sophia, McCarthy, Female,51.9943,-8.5055, 1966-04-25,57,Matched,Stefan Dodds, No, No,,
 Liam, Gallagher, Male,51.9861,-8.6422, 1963-10-11,60,Matched,Stefan Dodds, No, No,,
 Mia, Kennedy, Female,51.7647,-8.2466, 1958-12-29,65,Matched,Stefan Dodds,Yes, No,,
 Benjamin, Clarke, Male,51.9033,-8.394, 1956-03-08,68,To be matched,Stefan Dodds, No, No,,
 Charlotte, Brown, Female,51.7505,-8.6908, 1957-07-17,66,To be matched,Henry Kissinger, No, No,,
 Samuel, Lynch, Male,51.8327,-8.555, 1960-09-14,63,To be matched,Stefan Dodds, No, No,,
 Grace, Hughes, Female,51.9356,-8.5751, 1959-01-02,65,To be matched,Stefan Dodds, No, No,,
 Henry, Collins, Male,51.8782,-8.3678, 1967-04-19,56,Matched,Stefan Dodds, No, No,,
 Amelia, Ward, Female,51.9749,-8.4741, 1965-11-30,58,To be matched,Stefan Dodds,Yes, No,,
 Mason, Taylor, Male,51.7254,-8.7546, 1968-08-20,55,To be matched,Henry Kissinger, No,Yes,,
 Evelyn, White, Female,51.9343,-8.2506, 1963-05-07,60,To be matched,Stefan Dodds, No, No,,
 Elijah, Martin, Male,51.89,-8.4404, 1957-02-14,67,To be matched,Stefan Dodds, No, No,,
 Avery, Murphy, Female,51.8311,-8.4323, 1966-07-06,57,To be matched,Stefan Dodds, No, No,,
 Lily, Jones, Female,51.8167,-8.6098, 1959-10-31,64,To be matched,Stefan Dodds, No, No,,
 Michael, Wilson, Male,51.7215,-8.3511, 1958-01-15,66,To be matched,Stefan Dodds, No, No,,
 Matthew, Green, Male,51.7199,-8.1903, 1963-03-29,61,To be matched,Henry Kissinger, No, No,,
 Scarlett, Anderson, Female,51.8196,-8.8507, 1956-06-20,67,To be matched,Stefan Dodds, No, No,,
 Avery, Robinson, Female,51.9787,-8.6832, 1960-12-11,63,Matched,Stefan Dodds, No, No,,
 Evelyn, Murphy, Female,51.8706,-8.4675, 1961-09-07,62,To be matched,Stefan Dodds, No, No,,
 Daniel, Johnson, Male,51.9333,-8.2367, 1966-08-12,57,To be matched,Stefan Dodds, No, No,,
 Mia, Thompson, Female,51.7774,-8.8259, 1965-04-05,58,To be matched,Stefan Dodds, No, No,,
 Noah, Martinez, Male,51.8465,-8.7897, 1967-11-09,56,To be matched,Stefan Dodds, No, No,,
 Benjamin, Davis, Male,51.9789,-8.2672, 1961-02-23,63,Re-match,Stefan Dodds,Yes,Yes,,
 Harper, Moore, Female,51.8882,-8.3778, 1964-10-16,59,Matched,Stefan Dodds, No, No,,
 James, Hall, Male,51.73,-8.2197, 1967-07-19,56,Matched,Stefan Dodds, No, No,,
 William, Lewis, Male,51.7108,-8.3272, 1962-12-03,61,Matched,Stefan Dodds, No, No,,
 Emma, Walker, Female,51.9743,-8.2167, 1958-03-18,66,Re-match,Stefan Dodds, No, No,,
 Madison, Turner, Female,51.9602,-8.5539, 1957-09-14,66,Matched,Stefan Dodds,Yes, No,,
 Harper, Scott, Female,51.7481,-8.3833, 1964-01-28,60,Re-match,Stefan Dodds, No,Yes,,
 Benjamin, Young, Male,51.85,-8.7521, 1968-05-07,55,Matched,Stefan Dodds, No, No,,
 Mia, King, Female,51.9858,-8.416, 1959-11-02,64,Matched,Stefan Dodds, No, No,,
 Grace, Hill, Female,51.8155,-8.4568, 1966-08-01,57,Matched,Stefan Dodds, No, No,,
 Daniel, Baker, Male,51.7632,-8.6457, 1962-04-16,61,Matched,Stefan Dodds, No, No,,
 Joseph, Nelson, Male,51.9504,-8.472, 1965-05-25,58,To be matched,Stefan Dodds, No, No,,
 Olivia, Wood, Female,51.787,-8.2311, 1956-07-12,67,To be matched,Stefan Dodds, No, No,,
 William, Murphy, Male,51.9387,-8.3622, 1963-10-24,60,To be matched,Stefan Dodds, No, No,,
 Liam, Allen, Male,51.7487,-8.5195, 1959-08-10,64,To be matched,Stefan Dodds, No, No,,
 Noah, Bennett, Male,51.7955,-8.6388, 1960-03-27,64,To be matched,Stefan Dodds, No, No,,
 Mia, Turner, Female,51.7519,-8.4903, 1957-04-09,66,To be matched,Stefan Dodds,Yes, No,,
 Harper, Adams, Female,51.9101,-8.4848, 1964-06-14,59,To be matched,Stefan Dodds, No, No,,
 Charlotte, Hayes, Female,51.9204,-8.5707, 1967-09-27,56,To be matched,Stefan Dodds, No, No,,
 Daniel, Parker, Male,51.9002,-8.6499, 1969-01-30,55,To be matched,Stefan Dodds, No,Yes,,
 Emma, Nelson, Female,51.9303,-8.5772, 1956-02-05,68,To be matched,Stefan Dodds, No, No,,
 Samuel, Kelly, Male,51.7402,-8.2936, 1961-03-21,63,Re-match,Stefan Dodds,Yes, No,,
 James, Wilson, Male,51.7826,-8.6922, 1967-04-15,56,To be matched,Stefan Dodds, No, No,,
 Harper, Davis, Female,51.9714,-8.2985, 1969-05-12,54,To be matched,Stefan Dodds, No, No,,
 Lily, Evans, Female,51.9736,-8.4109, 1965-11-08,58,Matched,Stefan Dodds, No, No,,
 Michael, Turner, Male,51.8508,-8.2163, 1960-08-22,63,To be matched,Stefan Dodds, No, No,,
 Olivia, Lewis, Female,51.7452,-8.3023, 1958-01-11,66,To be matched,Stefan Dodds, No, No,,
 Emma, Green, Female,51.8811,-8.2436, 1963-07-01,60,Matched,Stefan Dodds, No, No,,
 Benjamin, Murphy, Male,51.93,-8.7325, 1966-02-14,58,To be matched,Stefan Dodds, No, No,,
 Samuel, Thompson, Male,51.7157,-8.2185, 1962-09-09,61,To be matched,Stefan Dodds, No, No,,
 Noah, Turner, Male,51.9801,-8.4729, 1964-11-05,59,To be matched,Stefan Dodds, No, No,,
 Mia, Scott, Female,51.9071,-8.6924, 1961-12-19,62,Matched,Henry Kissinger, No, No,,
 Olivia, Robinson, Female,51.9643,-8.7585, 1956-10-28,67,Matched,Stefan Dodds,Yes, No,,
 William, Adams, Male,51.9512,-8.5522, 1968-03-04,56,Matched,Stefan Dodds, No, No,,
 Emma, Hill, Female,51.7755,-8.6356, 1960-06-15,63,Matched,Stefan Dodds, No, No,,
